comments,label,text,processed_comments,processed_newstitle,labels
180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?,hate,"""'라스' 남주혁 """"중학교때 이미 184cm, 2년만에 키 30cm 폭풍 성장""""""
",180 이하 호빗 한남들은 결혼 하지 마셈 ㅋ 돈 없으면 연애도 하지 마셈 ㅋ 니들 호빗 유전자 받아서 고통 받을 후손은 뭔 죄임,라스 남주혁 중학교 이미 184cm 2년 만에 키 30cm 폭풍 성장,2.0
18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄,hate,"""[DAY컷] ‘SKY캐슬’ 조미녀 “케이 男 아닌 女, 캐릭터 위해 18kg 증량” (전문)""
",18키로 감량을 해야 박수쳐 주지 그냥 먹고 싶은 거다 먹고 디비져자고 하면 18 키로는 그냥쪄,day컷 sky캐슬 조미녀 케이 男 아닌 女 캐릭터 위해 18kg 증량 전문,2.0
1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.,none,"""'할리우드 1세대' 오순택 별세…""""편히 잠드소서"""" 추모 물결 [종합]""
",1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요 대단하신 분이셨군요,할리우드 1세대 오순택 별 세 편히 잠드소서 추모 물결 종합,0.0
19에서15로 바뀌고 망트리 탄거...,none,"[단독] ‘SNL 코리아’ 공식적인 폐지 확정…아름다운 종료
",19에서 15로 바뀌고 망트리 탄거,단독 snl 코리아 공식적인 폐지 확정 아름다운 종료,0.0
1년연예 ㅋㅋ 2년봅니다....,offensive,"[단독]클라라가 밝힌 #남편#신혼집#연예활동(인터뷰)
",1년 연예 ㅋㅋ 2년 봅니다,단독 클라라가 밝힌 남편 신혼집 연예활동인터뷰,1.0
1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나,none,"""[전문] 정진운♥경리 열애 인정 “2년째 열애 맞다, 따뜻한 시선 부탁” (공식입장)""
",1년 전인가 둘이 연남동 술집에서 술 마시는 거 봤는데 이제야 기사뜨는구나,전문 정진운경리 열애 인정 2년째 열애 맞다 따뜻한 시선 부탁 공식 입장,0.0
1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다,none,"""'방송하차' 차태현・김준호, 팬들이 """"이멤버, 리멤버"""" 외치는 이유(종합)[Oh!쎈 레터]""
",1박2일 재미 없고 이제 부도덕한 것만 생각나요 폐지하세요 학부모 폐지 비랍니다,방송 하차 차태현김준호 팬들이 멤버 리 멤버 외치는 이유종합oh쎈 레터,0.0
1보다 재미없어요 진짜 보다 나올뻔,offensive,"[종합]'신과함께2' 14일만에 1천만명↑...최초 쌍천만 시리즈
",1보다 재미없어요 진짜 보다 나올 뻔,종합신과 14일 만에 1천만명최초 쌍천만 시리즈,1.0
1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ,none,"'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄'
",1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더 만 ㅋㅋ,산다 金 독보적 1위 화사전현무이시언기안 84 웃음 폭탄,0.0
1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️,none,"""송가인, 행사비 ‘껑충’…축제 관계자 “너무 비싸”""
",1억도 안 아깝다,송가인 행사비 껑충 축제 관계자 너무 비싸,0.0
"1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯",none,"""‘냉부해’ 한상진, 47kg 감량→꾸준히 1일 1식→“감동적인 요리 감사”[종합]""
",1일 1식보단 아침 점심만 먹고 저녁은 꾸준히 공복 유지 하는 게 건강에 더 좋은 듯,냉부해 한상진 47kg 감량 꾸준히 1일 1식감동적인 요리 감사종합,0.0
1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함,none,"""‘냉부해’ 한상진, 47kg 감량→꾸준히 1일 1식→“감동적인 요리 감사”[종합]""
",1일 1식은 난 못하겠네 한상진씨 연기 잘함,냉부해 한상진 47kg 감량 꾸준히 1일 1식감동적인 요리 감사종합,0.0
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,none,"""‘의사요한’ 이세영, 지성 숨겨진 병력 알고 충격(종합)""
",1회에 교도소에서 마취도 없이 몸 꿰매는 거랑 뜨거운 커피 말고 차가운 거만 먹는 거 보고 아랏는데 난 무통증 무감각이라고,의사요한 세영 지성 숨겨진 병력 알고 충격종합,0.0
2%로도 안되는 시청율 ㅎㅎ 연기도 못하더만 이거 때문에 북을 못가? ㅎㅎ,none,"""'위대한 유혹자' 박수영♥우도환, 연애 시작 """"오늘부터 1일"""" (종합)""
",2로도 안 되는 시 청율 ㅎㅎ 연기도 못하더만 거 북을 못 ㅎㅎ,위대한 유 혹자 박수영 우도환 연애 시작 오늘부터 1일 종합,0.0
"2,30대 골빈여자들은 이 기사에 다 모이는건가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안된다. 엠넷사전투표나 하고 살아야지 계집들은",hate,"""“8년째 연애 중”…‘인생술집’ 블락비 유권♥전선혜, 4살차 연상연하 커플""
",30대 골빈 여자들은 기사에 다 모이는 건 가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안 된다 엠넷 사전투표나 하고 살아야지 계집들은,8년째 연애 중 인생술집 블락비 유권 전선혜 4살 차 연상연하 커플,2.0
2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ,none,"""[단독] '2월 결혼' 류시원, 웨딩 화보 입수..꼭 잡은 두 손""
",2002년도 여름에 봤는데 서 지영이랑 스포츠카 타고 온 거18년 전 이네 ㅎㅎ,단독 2월 결혼 류시원 웨딩 화보 입수꼭 잡은 두 손,0.0
2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..,hate,"[스타톡톡] '정소영 남편' 오협 누구?..6세 연상 학구파 배우
",2006년 포도 밭 사나이에서 흰 가운입은 연구원 정소영 봐라솔까 대한민국 여배우 중에 최고로 쁘고 단아했다 급식충들은 멋도 모르고 윤아 아이유 떠들겠지만,스타 톡톡 정소영 남편 오협 누구6세 연상 학구 파 배우,2.0
"200억대 쳐바르고 홍보를 그렇게나했는데 시청률 5.0%가 자랑이라고 올렸냐... 그리고, 남녀 주인공이 비주얼이 너무 심각하고 남녀주연들 사극 말투가 더빙한것마냥 성우스러워서 시청률이 그 모양 그 꼴이잖아...",offensive,"조선건국의 시작..'나의 나라' 5.0% 자체 최고 경신
",200억대 쳐바르고 홍보를 그렇게나 했는데 시청률 50가 자랑이라고 올렸냐 남녀 주인공이 비주얼이 너무 심각하고 남녀 주연들 사극 말투가 더빙한 마냥 성우스러워서 시청률이 모양 꼴이잖아,조선 건국의 시작나의 나라 50 자체 최고 경신,1.0
2014년 카톡은 안지우고 지끔까지 갖고 있었다는게 놀랍다~수집하니~지땜에 장씨 날벼락~,offensive,"""[종합]""""사생활 유출 범죄 파장""""...주진모 휴대폰 해킹→실명보도·2차 피해""
",2014년 카톡은 안 지우고 지끔까지 갖고 있었다는 게 놀랍다수집하니 지땜에 장씨 날벼락,종합사생활 유출 범죄 파장주진 휴대폰 해킹실명 보도2차 피해,1.0
2016년 사진이래요 ㅋ,none,"""‘임신 8개월차’ 차예련, 무보정 마네킹 각선미""
",2016년 사진 이래요 ㅋ,임신 8개월차 차예련 무보정 마네킹 각선미,0.0
2018년 마마 진정한 승자 화사,none,"""""""섹시미 폭발""""..마마무 화사, 시상식 뒤집어놓은 '레드 보디수트' [2018 MAMA②]""
",2018년 마마 진정한 승자 화사,섹시 미 폭발마마무 화사 시상식 뒤집어놓은 레드 보디수트 2018 mama②,0.0
2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,none,"""[★현장스케치]""""태양, 다시 만나요""""..청성부대 앞 배웅 팬들 운집""
",2020년 올 거 같냐 영배 야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,현장 스케치태양 다시 만나요청성부대 앞 배웅 팬들 운집,0.0
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요,none,"""[단독] 도끼 측 """"해당 업체, 자료 문의에 회신 NO""""…법적대응 예고""
",206000달러 중 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을 거 같아 중립기어 박아요,단독 도끼 측 해당 업체 자료 문의에 회신 no법적 대응 예고,0.0
20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길,none,"""""""질투·권태기 無""""…오나라♥김도훈, 20년 열애에 커져가는 관심[엑's 이슈]""
",20년 연애 너무 멋져요 결혼하셔서 행복한 가정이루시길,질투권태기 無 오나라 김도훈 20년 열애에 커져가는 관심 엑 s 이슈,0.0
20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다,offensive,"""'그것이 알고싶다' 故김성재 편, 방송 불가…""""명예훼손 우려""""[공식입장]""
",20년 넘었다 부모는 속이 타고 억울하겠지만 젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 많을까 30년 지난 화성 사건은 피해 가족들은그 땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될 수,그것이 알고 싶다 故 김성재 편 방송 불가 명예훼손 우려 공식 입장,1.0
20년째 열애중? 너무 길다.,none,"""'SKY 캐슬' 오나라, 남자친구 김도훈까지 화제 """"20년째 열애중♥"""" [종합]""
",20년째 열애중 너무 길다,sky 캐슬 오나라 남자친구 김도훈까지 화제 20년째 열애 중 종합,0.0
20대 30대 남자 비율보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ할짓 드럽게없나봐... 죽자고 덤벼드는거봐ㅠㅠ,hate,"""[이슈S] 오초희→산이, '이수역 폭행' 사건 언급 후폭풍""
",20대 30대 남자 비율보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 할 짓 드럽게 없나봐 죽자고 덤벼드는 거 ㅠㅠ,이슈s 오초희산이 이수역 폭행 사건 언급 후폭풍,2.0
20대다. 연애 많이 해봐라.,offensive,"송유빈·김소희 추정 키스 사진…열애설 일파만파→소속사 묵묵부답 [종합]
",20대다 연애 많이 해봐라,송유빈김소희 추정 키스 사진 열애설 일파만파소속사 묵묵부답 종합,1.0
20살차?? ㅉㅉ,offensive,"이영애 ‘집사부일체’ 출연에 남편 정호영도 관심...‘20살 나이차’
",20살 차 ㅉㅉ,이영애 집사부 일체 출연에 남편 정호 영도 관심20살 나이차,1.0
21C에 주술사랑 ...,none,"""[단독] 배우 박하나, 한의사와 열애 중♥""
",21c에 주술 사랑,단독 배우 박 한의사와 열애 중,0.0
24살인데 술을먹어 발랑까졋네 고딩때도 먹엇을듯,offensive,"""""""한치 대란 예고"""" 화사 '냉장고' 강림한 먹방 여신 """"주량 소주 1병""""[종합]""
",24살인데 술을 먹어 발랑 까졋 고딩 때도 먹엇을 듯,한 치 대란 예고 화사 냉장고 강림한 먹방 여신 주량 소주 1병종합,1.0
25년전이면 한참 팔팔할때.. 오달수도 아마 이십대 초반.. 서로 어렸을때 반콩깠던거 같은데..저렇게 따지면 이세상에 성범죄자 아닌인간이 있을까 무섭다,offensive,"""[SC초점] '연락두절' 오달수·'미국行' 조근현, 성추문 언제쯤 입 열까?""
",25년 전이면 한참 팔팔할 오달 수도 아마 이십 대 초반 서로 어렸을 반콩깠던 거 같은데 저렇게 따지면 세상에 성범죄자 아닌 인간이 있을까 무섭다,sc초점 연락두절 오달수 미국行 조근현 성추문 언제쯤 입 열까,1.0
25년전이면오달수도 혈기왕성할때인데 그럴수도 있을듯 그리고 이제와서 25년일을 말하는사람도 참 이해못하겠네 혓재에 충실하고 살지 참,none,"[DA:리뷰] 오달수 “다 내 잘못”…A씨·엄지영 “변명 같지만 사과받아” (종합)
",25년 전이면 오달 수도 혈기 왕성할 때인데 그럴 수도 있을 듯 이제와서 25년 일을 말하는 사람도 이해 못하겠네 혓재에 충실하고 살 지,da 리뷰 오달 수 다 내 잘못 a씨엄지영 변명 같지만 사과 받아 종합,0.0
26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌,none,"""""""응암동의 최수종"""" 이용진, 7년 열애 비연예인 여친과 오늘(14일) 결혼(종합)[Oh!쎈 이슈]""
",26년 최수종님처럼 한 결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게 만 살아도 싸울 반으로 줄이고 아내 행복하게 만들어줌,응암동의 최수종 이용진 7년 열애 비연예인 여친과 오늘14일 결혼종합oh쎈 이슈,0.0
290억 아니고?,none,"""임청하, 결혼 24년 만에 이혼·위자료 2900억?…직접 입장 밝힐까 [종합]""
",290억 아니고,임청하 결혼 24년 만에 혼위자료 2900억 직접 입장 밝힐까 종합,0.0
29살까지 온갖 수단 다 동원해서 입대 연기하며 발악하다가 어쩔수없이 끌려가는게 머가 대단하다고 오바질이야 ㅋㅋ,hate,"""'입대 D-11' 서은광의 슬픈 멜로디..비투비, 눈물의 첫 체조경기장[콘서트 종합]""
",29살까지 온갖 수단 다 동원해서 입대 연기하며 발 악하다가 어쩔 수 없이 끌려가는 게 머가 대단하다고 오바질 이야 ㅋㅋ,입대 d11 서 은광의 슬픈 멜로디비투비 눈물의 첫 체조 경기장콘서트 종합,2.0
2~30대녀 :(쿵쾅쿵쾅) 꿀꿀꿀!!!!!!,hate,"""[종합] """"아들 넷? 그냥 두면 큰다""""…'컬투쇼' 임창정이 전한 육아법""
",230대 녀 쿵쾅쿵쾅 꿀꿀꿀,종합 아들 그냥 두면 큰다 컬투쇼 임창정이 전한 육아법,2.0
2년 사귀었으면 ... 서로 온몸의 점 위치까지 다알 듯 ㅋㅋㅋ,offensive,"""""""현아♥이던, 2년째 교제""""..최근 열애를 인정한 커플 6쌍[Oh!쎈 탐구]""
",2년 사귀었으면 서로 온몸의 점 위치까지 다 알 듯 ㅋㅋㅋ,현아 이던 2년째 교제최근 열애를 인정한 커플 6쌍oh쎈 탐구,1.0
2년도안되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 ......그동안 sns에서 충분히 느낄 수 있었ㆍ새로운 삶을 사세요,offensive,"""구혜선 """"안재현 증오, 망가지길 원했다…더이상 사랑하지 않아"""" [전문]""
",2년도 안 되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 그동안 sns에서 충분히 느낄 수 있었ㆍ 새로운 삶을 사세요,구혜선 안재현 증오 망가지길 원했다 더 사랑하지 않아 전문,1.0
2박2일은 뭐니? 기레기야,hate,"""""""밤하늘의 ★됐다""""..故전미선 사망, 송강호·봉준호·윤시윤 '추모·조문ing'(종합) [Oh!쎈 이슈]""
",2박2일은 뭐니 기레기야,밤하늘의 됐다故전 미선 사망 송강호봉준호윤시윤 추모조문ing종합 oh쎈 이슈,2.0
2차로 남자집을 왜 가.무조건 남자만 탓 할 일은 아니다.명백히 가려지길...,offensive,"""[종합] 강지환 긴급체포…경찰 “성폭행 혐의, 구속영장도 검토”""
",2차로 남자 집을 가무조건 남자만 탓 할 일은 아니다 명백히 가려지길,종합 강지환 긴급체포 경찰 성폭행 혐의 구속영장도 검토,1.0
2천만원짜리 조리원하며고기집 외식하며...참 가지가지 한다ㅋㅋㅋㅋㅋ관심병으로 더아프신거 아닌감??아무튼 건강하다니 다행이네...ㅋㅋㅋ,offensive,"""[Oh!쎈 이슈] 추자현, 우효광과 외식→'의식불명설' 종결..소속사 """"조리원서 회복中""""(종합)""
",2천만원짜리 조리원하며 고기집 외식하며참 가지가 지 한 다ㅋㅋㅋㅋㅋ 관심병으로 더 아프 신거 아닌 감 아무튼 건강하다니 다행이네ㅋㅋㅋ,oh쎈 이슈 추자현 우효광과 외식 의식불명설 종결 소속사 조리원서 회복中 종합,1.0
30넘어서 공익가는 꼴이란ㅋㅋㅋㅋㅋ진짜 모냥빠진다ㅋㅋㅋ,offensive,"""'로맨스는 별책부록' 이종석, 이나영에 키스 했다 [종합]""
",30 넘어서 공익가는 꼴이란 ㅋㅋㅋㅋㅋ 진짜 모냥 빠진 다ㅋㅋㅋ,로맨스는 별책부록 이종석 이나영에 키스 했다 종합,1.0
30대 아줌마들 남에 집에 감놔라배놔라 ㅋㅋㅋㅋㅋ,offensive,"""[Oh!쎈 이슈]""""제작진 말 믿었다""""..김재욱·박세미vs'이나리', 악마의 편집 폭로 후폭풍 [전문]""
",30대 아줌마들 남에 집에 감 놔라 배놔라 ㅋㅋㅋㅋㅋ,oh쎈 이슈제작진 말 믿었다 김재욱박세미 vs 이나리 악마의 편집 폭로 후폭풍 전문,1.0
30대 아줌마들;; 고만들 하세요;,offensive,"""'데뷔 12년차 여유' 현아, 노출 사고에도 당당한 섹시 스타(종합)[Oh!쎈 이슈]""
",30대 아줌마들 고 만들 하세요,데뷔 12년차 여유 현아 노출 사고에도 당당한 섹시 스타종합oh쎈 이슈,1.0
30대 여자들은 군대도 안가는데 군대 이야기에 이렇게 관심이 많을까?? 젤 싫어하는 이야기 탑3라면서??,offensive,"""조재현 측 """"아들 軍특혜라니? 안전문제 제보하려 했을 뿐""""(공식입장)""
",30대 여자들은 군대도 안 가는데 군대 이야기에 이렇게 관심이 많을까 젤 싫어하는 이야기 탑 3라면서,조재현 측 아들 軍 특혜라니 안전 문제 제보하려 했을 뿐 공식 입장,1.0
30대 여자비율이 가장높은거보니 고소영이뻐요 하는 이유를 알겠다 ^^ 여자들아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예안보여요~^^,hate,"""고소영, 블랙핑크 제니 덕후 인증 """"너무 귀엽고 ♥스러워""""""
",30대 여자 비율이 가장 높은 거 보니 고소영이 뻐요 하는 이유를 알겠다 여자들 진심으로 하겠는데 30대 여자는 진심으로 여자로 아예 안보여 요,고소영 블랙 핑크 제니 덕후 인증 너무 귀엽고 스러워,2.0
30대여자들 한혜진 빙의해서 악플다는거 진짜 안쓰럽고 역겹다 본인인생이나 잘살기를 젊은여자들 질투하지말고,offensive,"""'옥문아들' 이혜성 아나운서 """"노메이크업으로 면접, 1200대1 뚫었다"""" [포인트:톡]""
",30대 여자들 한 혜진 빙의 해서 악플다는 거 진짜 안쓰럽고 역겹 다 본인 인생이나 잘 살기를 젊은 여자들 질투하지 말고,옥문아들 혜성 아나운서 노메이크업으로 면접 1200대 뚫었다 포인트 톡,1.0
33살이 청년임? 아저씨아님?,hate,"""[종합] """"청년사업가 됐다""""…이창민, JYP·빅히트 거쳐 10년만에 독립""
",33살 청년임 아저씨 아님,종합 청년사업가 됐다 이창민 jyp빅히트 거쳐 10년 만에 독립,2.0
38살 되도록 시집못갔으면 뭔가 문제있는 여자 아닌가?? 건모형 그냥 거르세요...상대할 필요도 없어요...,hate,"""[단독] 김태욱 """"김건모 맞선녀가 우리 직원? 저도 방송 보고 놀라""""""
",38살 되도록 시집 못 갔으면 뭔가 문제 있는 여자 아닌가 건 모형 그냥 거르세요상대할 필요도 없어요,단독 김태욱 김건모 맞선녀가 직원 저도 방송 보고 놀라,2.0
38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~,none,"""‘장동건♥’ 고소영, 생일 꽃다발 받고 환한 미소 “여신 미모”""
",38세 48세로 잘못 적은 거 아닌가 ㅋㅋㅋㅋ 할 정도로 동안이네요,장동건 고소영 생일 꽃다발 받고 환한 미소 여신 미모,0.0
39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???,none,"""[POP이슈]""""웬 날벼락"""" 양세종→양동근, '필로폰 투약' 양씨 배우 등장에 곤혹(종합)""
",39세라고 나와 있구만 ㅡㅡ 양세종은 20대 아님,pop 이슈웬 날벼락 양세종양동근 필로폰 투약 양씨 배우 등장에 곤혹종합,0.0
